"date","close.spy","close.tlt","fed.rate"
2006-11-22,140.92,90.46,5.24
2006-11-24,140.35,90.62,NA
2006-11-27,138.42,90.95,NA
2006-11-28,139.02,91.15,NA
2006-11-29,140.47,90.93,5.26
2006-11-30,140.53,91.53,NA
2006-12-01,140.22,91.42,NA
2006-12-04,141.29,91.58,NA
2006-12-05,141.9,91.15,NA
2006-12-06,141.78,90.97,5.25
2006-12-07,141.16,90.9,NA
2006-12-08,141.42,90.24,NA
2006-12-11,141.83,90.63,NA
2006-12-12,141.72,90.82,NA
2006-12-13,141.87,90.01,5.24
2006-12-14,143.12,89.68,NA
2006-12-15,142.34,89.73,NA
2006-12-18,141.95,89.76,NA
2006-12-19,142.22,89.64,NA
2006-12-20,142.14,89.63,5.25
2006-12-21,141.62,90.08,NA
2006-12-22,140.75,89.39,NA
2006-12-26,141.58,89.66,NA
2006-12-27,142.51,88.7,5.24
2006-12-28,142.21,88.5,NA
2006-12-29,141.62,88.43,NA
2007-01-03,141.37,89.07,5.22
2007-01-04,141.67,89.6,NA
2007-01-05,140.54,89.22,NA
2007-01-08,141.19,89.37,NA
2007-01-09,141.07,89.37,NA
2007-01-10,141.54,88.97,5.23
2007-01-11,142.16,88.45,NA
2007-01-12,143.24,88.04,NA
2007-01-16,142.96,88.2,NA
2007-01-17,143.02,87.96,5.24
2007-01-18,142.54,88.23,NA
2007-01-19,142.82,87.99,NA
2007-01-22,142.38,88.2,NA
2007-01-23,142.8,87.62,NA
2007-01-24,143.95,87.61,5.25
2007-01-25,142.26,86.98,NA
2007-01-26,142.16,86.91,NA
2007-01-29,142.05,86.72,NA
2007-01-30,142.79,86.82,NA
2007-01-31,143.75,87.55,5.27
2007-02-01,144.61,87.09,NA
2007-02-02,144.81,87.2,NA
2007-02-05,144.85,87.32,NA
2007-02-06,144.89,87.8,NA
2007-02-07,145.21,88.06,5.25
2007-02-08,145.02,88.13,NA
2007-02-09,143.94,87.63,NA
2007-02-12,143.45,87.43,NA
2007-02-13,144.66,87.24,NA
2007-02-14,145.61,88.07,5.26
2007-02-15,145.8,88.33,NA
2007-02-16,145.73,88.64,NA
2007-02-20,146.04,88.84,NA
2007-02-21,145.98,88.69,5.25
2007-02-22,145.87,88.21,NA
2007-02-23,145.3,88.84,NA
2007-02-26,145.17,89.43,NA
2007-02-27,139.5,90.56,NA
2007-02-28,140.93,90.15,5.28
2007-03-01,140.51,89.74,NA
2007-03-02,138.67,90.2,NA
2007-03-05,137.35,90.35,NA
2007-03-06,139.7,90.08,NA
2007-03-07,139.56,90.43,5.25
2007-03-08,140.74,90.35,NA
2007-03-09,140.78,89.4,NA
2007-03-12,140.99,89.75,NA
2007-03-13,138.25,90.29,NA
2007-03-14,139.28,89.88,5.25
2007-03-15,139.47,89.87,NA
2007-03-16,138.53,89.85,NA
2007-03-19,140.2,89.66,NA
2007-03-20,140.97,89.71,NA
2007-03-21,143.29,89.75,5.26
2007-03-22,143.18,89.04,NA
2007-03-23,143.39,88.79,NA
2007-03-26,143.2,88.9,NA
2007-03-27,142.86,88.75,NA
2007-03-28,141.82,88.57,5.26
2007-03-29,141.97,88.45,NA
2007-03-30,142,88.28,NA
2007-04-02,142.16,88.1,NA
2007-04-03,143.69,87.99,NA
2007-04-04,143.85,88.08,5.26
2007-04-05,144.24,87.75,NA
2007-04-09,144.44,87.17,NA
2007-04-10,144.61,87.43,NA
2007-04-11,144.02,87.37,5.28
2007-04-12,144.66,87.39,NA
2007-04-13,145.32,87.12,NA
2007-04-16,146.7,87.6,NA
2007-04-17,147.09,88.09,NA
2007-04-18,147.27,88.53,5.24
2007-04-19,147.23,88.38,NA
2007-04-20,148.62,88.15,NA
2007-04-23,148.06,88.47,NA
2007-04-24,148.12,88.8,NA
2007-04-25,149.48,88.49,5.23
2007-04-26,149.65,87.85,NA
2007-04-27,149.53,87.83,NA
2007-04-30,148.29,88.75,NA
2007-05-01,148.67,88.49,NA
2007-05-02,149.54,88.44,5.25
2007-05-03,150.35,88.24,NA
2007-05-04,150.92,88.6,NA
2007-05-07,150.95,88.84,NA
2007-05-08,150.75,88.64,NA
2007-05-09,151.16,88.29,5.23
2007-05-10,149.58,88.5,NA
2007-05-11,150.86,88.19,NA
2007-05-14,150.53,87.96,NA
2007-05-15,150.57,87.93,NA
2007-05-16,151.6,87.87,5.27
2007-05-17,151.3,87.51,NA
2007-05-18,152.62,86.93,NA
2007-05-21,152.54,87.19,NA
2007-05-22,152.42,86.74,NA
2007-05-23,152.44,86.49,5.24
2007-05-24,151.06,86.57,NA
2007-05-25,151.69,86.37,NA
2007-05-29,152.24,86.36,NA
2007-05-30,153.48,86.54,5.28
2007-05-31,153.32,86.38,NA
2007-06-01,154.08,85.59,NA
2007-06-04,154.1,85.98,NA
2007-06-05,153.49,85.44,NA
2007-06-06,151.84,85.4,5.24
2007-06-07,149.1,83.87,NA
2007-06-08,151.04,83.8,NA
2007-06-11,151.3,83.56,NA
2007-06-12,149.65,82.35,NA
2007-06-13,151.89,83.33,5.26
2007-06-14,152.86,83.12,NA
2007-06-15,153.07,83.69,NA
2007-06-18,152.89,83.52,NA
2007-06-19,153.27,84.3,NA
2007-06-20,151.14,83.62,5.25
2007-06-21,151.98,83.22,NA
2007-06-22,150.55,83.76,NA
2007-06-25,149.83,84.22,NA
2007-06-26,148.29,84.24,NA
2007-06-27,150.4,84.32,5.25
2007-06-28,150.38,84.3,NA
2007-06-29,150.43,85.17,NA
2007-07-02,151.79,85.29,NA
2007-07-03,152.34,84.77,NA
2007-07-05,152.18,83.82,NA
2007-07-06,152.98,83.48,NA
2007-07-09,153,83.78,NA
2007-07-10,150.92,85.2,NA
2007-07-11,151.99,84.32,5.23
2007-07-12,154.39,84.03,NA
2007-07-13,154.85,84.26,NA
2007-07-16,154.83,85.07,NA
2007-07-17,154.75,84.89,NA
2007-07-18,154.47,85.21,5.27
2007-07-19,155.07,85.19,NA
2007-07-20,153.5,85.96,NA
2007-07-23,153.97,85.82,NA
2007-07-24,151.3,86.14,NA
2007-07-25,151.61,86.31,5.26
2007-07-26,148.02,87.03,NA
2007-07-27,145.11,87.28,NA
2007-07-30,147.38,87.03,NA
2007-07-31,145.72,87.66,NA
2007-08-01,146.43,87.13,5.27
2007-08-02,147.6,87.35,NA
2007-08-03,143.8,87.93,NA
2007-08-06,146.21,87.29,NA
2007-08-07,147.77,87.22,NA
2007-08-08,149.83,86.16,5.25
2007-08-09,145.39,86.28,NA
2007-08-10,144.71,86.08,NA
2007-08-13,145.23,86.33,NA
2007-08-14,143.01,86.56,NA
2007-08-15,141.04,86.25,4.79
2007-08-16,142.1,87.14,NA
2007-08-17,144.71,86.79,NA
2007-08-20,144.64,86.84,NA
2007-08-21,144.93,87.26,NA
2007-08-22,146.65,87.12,4.91
2007-08-23,146.52,87.42,NA
2007-08-24,148.33,87.85,NA
2007-08-27,146.95,88.31,NA
2007-08-28,143.72,88.46,NA
2007-08-29,146.54,88.22,5.11
2007-08-30,146.15,88.81,NA
2007-08-31,147.59,88.88,NA
2007-09-04,149.08,88.56,NA
2007-09-05,147.79,89.27,5.03
2007-09-06,148.13,89.04,NA
2007-09-07,146.07,90.3,NA
2007-09-10,145.79,91,NA
2007-09-11,147.49,90.93,NA
2007-09-12,147.87,90.59,4.98
2007-09-13,148.91,89.78,NA
2007-09-14,148.9,89.91,NA
2007-09-17,148.1,90.34,NA
2007-09-18,152.46,89.66,NA
2007-09-19,153.36,88.83,5.12
2007-09-20,152.28,87.15,NA
2007-09-21,151.97,87.89,NA
2007-09-24,151.69,88.14,NA
2007-09-25,151.39,87.83,NA
2007-09-26,152.19,87.91,4.78
2007-09-27,153.09,88.52,NA
2007-09-28,152.58,88.72,NA
2007-10-01,154.3,88.88,NA
2007-10-02,154.09,89.16,NA
2007-10-03,153.78,88.9,4.72
2007-10-04,154.02,89.24,NA
2007-10-05,155.85,88.28,NA
2007-10-08,155.02,88.21,NA
2007-10-09,156.48,88.1,NA
2007-10-10,156.22,88.15,4.75
2007-10-11,155.47,88.06,NA
2007-10-12,156.33,87.63,NA
2007-10-15,155.01,87.65,NA
2007-10-16,153.78,87.68,NA
2007-10-17,154.25,88.64,4.74
2007-10-18,153.69,89.13,NA
2007-10-19,149.67,90.46,NA
2007-10-22,150.54,90.47,NA
2007-10-23,151.76,90.35,NA
2007-10-24,151.48,91.02,4.73
2007-10-25,151.84,90.71,NA
2007-10-26,153.62,90.5,NA
2007-10-29,154.13,90.85,NA
2007-10-30,153.06,90.8,NA
2007-10-31,154.65,89.98,4.78
2007-11-01,151.03,90.75,NA
2007-11-02,151.2,91.04,NA
2007-11-05,150.05,91,NA
2007-11-06,152.07,90.56,NA
2007-11-07,147.91,90.72,4.33
2007-11-08,147.16,90.56,NA
2007-11-09,145.14,91.33,NA
2007-11-12,143.7,91.66,NA
2007-11-13,148.08,91.32,NA
2007-11-14,147.67,91.42,4.54
2007-11-15,145.54,92.28,NA
2007-11-16,145.79,92.41,NA
2007-11-19,143.76,93.01,NA
2007-11-20,144.64,92.91,NA
2007-11-21,141.68,93.45,4.51
2007-11-23,144.13,93.73,NA
2007-11-26,140.95,95.58,NA
2007-11-27,142.57,94.67,NA
2007-11-28,147.13,94.03,4.53
2007-11-29,147.18,94.84,NA
2007-11-30,148.66,94.38,NA
2007-12-03,147.68,94.75,NA
2007-12-04,146.36,94.74,NA
2007-12-05,148.81,93.61,4.55
2007-12-06,150.94,92.79,NA
2007-12-07,150.91,91.75,NA
2007-12-10,152.08,91.2,NA
2007-12-11,147.91,92.99,NA
2007-12-12,149.37,92.03,4.39
2007-12-13,149.06,91.03,NA
2007-12-14,147.17,90.61,NA
2007-12-17,145.07,91.42,NA
2007-12-18,145.88,92.01,NA
2007-12-19,145.88,93.23,4.21
2007-12-20,146.8,93.03,NA
2007-12-21,148.13,91.67,NA
2007-12-24,149.23,91.24,NA
2007-12-26,149.55,90.44,4.21
2007-12-27,147.67,91.06,NA
2007-12-28,147.3,92.48,NA
2007-12-31,146.21,93.04,NA
2008-01-02,144.93,94.38,3.77
2008-01-03,144.86,94.25,NA
2008-01-04,141.31,94.27,NA
2008-01-07,141.19,94.68,NA
